"","Mean offset","Median offset","Sum of offsets","Equilibrium","Offset of SDs","Mean daily offset of SDs","Amplitude offset (5%)","Amplitude offset (2.5%)","Mean daily amplitude offset","Amplitude ratio (5%)","Amplitude ratio (2.5%)","CV offset","Mean daily CV offset","CV ratio","Slope","Change ratio","Correlation","Offset of maxima (97.5%)","Offset of maxima (100%)","Mean daily offset of maxima (97.5%)","Mean daily offset of maxima (100%)","p95 of daily offset of maxima","Offset of minima (2.5%)","Offset of minima (0%)","Mean daily offset of minima (2.5%)","Mean daily offset of minima (0%)","p5 of daily offset of minima"
"Mean offset",1,0.999819083044088,0.926410561644762,NA,-0.000760410094502751,-0.000175093618241471,-1.37085594911805e-07,0.000281616055772739,4.47025249077152e-05,2.36424226174428e-07,0.000349488643062726,0.586313544182733,NA,0.743832232553242,-0.000928884100181539,3.92537850697213e-17,-0.00158557999815568,0.946687622659979,0.720516933288905,0.98007226499811,0.978190609201997,0.943540293855227,0.960237339625542,0.613059508759016,0.98258304096211,0.980896156677554,0.95972488420052
"Median offset",0.999819083044088,1,0.92624566098844,NA,-0.013779965140695,-0.0141620095129082,-0.0136370899862159,-0.0118494654185775,-0.0131213546545577,-0.0145803915095963,-0.0141695904744445,0.591808471754987,NA,0.747120778236164,-0.0138483182352596,-0.0126881852954793,-0.00348844594493185,0.942445098522109,0.71424639832718,0.977159061233916,0.975150410039901,0.939912782000997,0.963166048487105,0.616460324680621,0.984716862377205,0.983134707626487,0.962276774163683
"Sum of offsets",0.926410561644762,0.92624566098844,1,NA,-0.000308188008547989,8.86883649421602e-05,4.01480225597938e-07,0.000469156513063388,0.000125386156397249,4.60909481351808e-07,0.000477633077209119,0.49859528783105,NA,0.788786365445772,-0.000468300172126778,4.09518235863773e-17,-0.00105733152403137,0.877089653920278,0.667779484908456,0.90796378620501,0.906222247171513,0.874157168780422,0.88951907371126,0.567275690940324,0.910258734264807,0.908695017936131,0.889071283005512
"Equilibrium",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offset of SDs",-0.000760410094502751,-0.013779965140695,-0.000308188008547989,NA,1,0.984252197353878,0.891434055245576,0.925279402113036,0.926812130416008,0.808592507739687,0.857067297532096,-0.288905933889963,NA,-0.212065312671008,0.87265060052488,0.832450391938837,0.246986681433211,0.296897161577398,0.516907459333845,0.183939166150245,0.192981815426939,0.269408433699707,-0.250464310479593,-0.584228153990244,-0.170606178315359,-0.178669353599978,-0.225827276460317
"Mean daily offset of SDs",-0.000175093618241471,-0.0141620095129082,8.86883649421602e-05,NA,0.984252197353878,1,0.928857081331234,0.958373352684837,0.961164608586214,0.839765676339401,0.882026178740509,-0.283136512613438,NA,-0.20907228057158,0.848513871329448,0.863935622459867,0.21194538141784,0.307966931599781,0.531786233327488,0.191769824643057,0.200944745394169,0.278887704770054,-0.2589651795441,-0.501295973241195,-0.176114613776906,-0.184479493746454,-0.235710744898126
"Amplitude offset (5%)",-1.37085594911805e-07,-0.0136370899862159,4.01480225597938e-07,NA,0.891434055245576,0.928857081331234,1,0.874750407369726,0.963334440256493,0.865433990329027,0.791361022299941,-0.238615126591941,NA,-0.18441888770901,0.741550036133085,0.927460999430733,0.179666037075385,0.28079267827003,0.3912637344711,0.191128110800045,0.199417983938894,0.248179973734626,-0.236676109449614,-0.311223225044003,-0.178687611032916,-0.186881865307863,-0.217428734465549
"Amplitude offset (2.5%)",0.000281616055772739,-0.0118494654185775,0.000469156513063388,NA,0.925279402113036,0.958373352684837,0.874750407369726,1,0.932314019106869,0.748854867037069,0.83584033006084,-0.219366328816393,NA,-0.182178204404527,0.751195185816765,0.820142195044941,0.174547804975718,0.31797860362307,0.599849118788907,0.18563287854889,0.194678675895422,0.277527229108472,-0.273626782750556,-0.479918038288862,-0.170786625478062,-0.179177212750829,-0.233398657373438
"Mean daily amplitude offset",4.47025249077152e-05,-0.0131213546545577,0.000125386156397249,NA,0.926812130416008,0.961164608586214,0.963334440256493,0.932314019106869,1,0.833672354926983,0.830009647010469,-0.245023296773746,NA,-0.189519823811441,0.773262240516513,0.907456473251044,0.212798952596174,0.301190612030346,0.480085872222583,0.198190320756846,0.20715566506583,0.262431153301399,-0.250302777049144,-0.399406864779605,-0.185140563127181,-0.193846766883024,-0.229219612643985
"Amplitude ratio (5%)",2.36424226174428e-07,-0.0145803915095963,4.60909481351808e-07,NA,0.808592507739687,0.839765676339401,0.865433990329027,0.748854867037069,0.833672354926983,1,0.92688671061307,-0.471961506505371,NA,-0.229935078206847,0.901381827196974,0.929449671498363,0.210746395131961,0.243423904288383,0.339656011377606,0.168437795017033,0.176470038705459,0.214520277367038,-0.199525811900613,-0.286902274956266,-0.150628342768935,-0.157824106310857,-0.18430426520017
"Amplitude ratio (2.5%)",0.000349488643062726,-0.0141695904744445,0.000477633077209119,NA,0.857067297532096,0.882026178740509,0.791361022299941,0.83584033006084,0.830009647010469,0.92688671061307,1,-0.470044140772983,NA,-0.236774332079511,0.944577822593183,0.854023794605226,0.21853592525855,0.274660352609798,0.496900297715192,0.168634829198785,0.177536048032045,0.239377535672861,-0.219698601851924,-0.416004522974936,-0.147785508737194,-0.155284261666605,-0.196230897468406
"CV offset",0.586313544182733,0.591808471754987,0.49859528783105,NA,-0.288905933889963,-0.283136512613438,-0.238615126591941,-0.219366328816393,-0.245023296773746,-0.471961506505371,-0.470044140772983,1,NA,0.536738577039529,-0.509716560998654,-0.340379171511244,-0.202314360687332,0.48334110195992,0.311580676738775,0.523182802830509,0.51889714163007,0.484038444080083,0.621133816824576,0.521023361313687,0.617381080187595,0.618738125370161,0.620129283785174
"Mean daily CV offset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV ratio",0.743832232553242,0.747120778236164,0.788786365445772,NA,-0.212065312671008,-0.20907228057158,-0.18441888770901,-0.182178204404527,-0.189519823811441,-0.229935078206847,-0.236774332079511,0.536738577039529,NA,1,-0.248902895134518,-0.200513790844935,-0.10949852179798,0.644647095717697,0.436023286726663,0.690467663127652,0.687011473967379,0.648781095972057,0.762605113453942,0.577002595091917,0.764621049198563,0.765031484981392,0.757406876267914
"Slope",-0.000928884100181539,-0.0138483182352596,-0.000468300172126778,NA,0.87265060052488,0.848513871329448,0.741550036133085,0.751195185816765,0.773262240516513,0.901381827196974,0.944577822593183,-0.509716560998654,NA,-0.248902895134518,1,0.808602379484363,0.355489547305565,0.244060181454387,0.424197722449725,0.155424848003919,0.163889724397133,0.21380661642036,-0.200275643329746,-0.527996941027557,-0.139278660805524,-0.146180001631878,-0.17679424203021
"Change ratio",3.92537850697213e-17,-0.0126881852954793,4.09518235863773e-17,NA,0.832450391938837,0.863935622459867,0.927460999430733,0.820142195044941,0.907456473251044,0.929449671498363,0.854023794605226,-0.340379171511244,NA,-0.200513790844935,0.808602379484363,1,0.221593182603044,0.263786129377821,0.381400253906344,0.180370432606043,0.188801671540609,0.228395951189393,-0.221370962757156,-0.305785511502448,-0.167115738643702,-0.175088306628347,-0.198710224451524
"Correlation",-0.00158557999815568,-0.00348844594493185,-0.00105733152403137,NA,0.246986681433211,0.21194538141784,0.179666037075385,0.174547804975718,0.212798952596174,0.210746395131961,0.21853592525855,-0.202314360687332,NA,-0.10949852179798,0.355489547305565,0.221593182603044,1,0.058368824379151,0.0938343224460223,0.0398607176799076,0.0422632707597086,-0.000129946957566781,-0.0448530633573993,-0.299979547882516,-0.0411852842097219,-0.0430746919080396,-0.000368828324687666
"Offset of maxima (97.5%)",0.946687622659979,0.942445098522109,0.877089653920278,NA,0.296897161577398,0.307966931599781,0.28079267827003,0.31797860362307,0.301190612030346,0.243423904288383,0.274660352609798,0.48334110195992,NA,0.644647095717697,0.244060181454387,0.263786129377821,0.058368824379151,1,0.875857695769236,0.987760397897513,0.988896598023022,0.982799267341127,0.82490716632875,0.428069610112638,0.874989377245573,0.870698020172635,0.834177515329205
"Offset of maxima (100%)",0.720516933288905,0.71424639832718,0.667779484908456,NA,0.516907459333845,0.531786233327488,0.3912637344711,0.599849118788907,0.480085872222583,0.339656011377606,0.496900297715192,0.311580676738775,NA,0.436023286726663,0.424197722449725,0.381400253906344,0.0938343224460223,0.875857695769236,1,0.801960353091615,0.806157270506471,0.850872504498802,0.530911177574592,0.0917397714992273,0.621505841127288,0.615609290617052,0.55770084507183
"Mean daily offset of maxima (97.5%)",0.98007226499811,0.977159061233916,0.90796378620501,NA,0.183939166150245,0.191769824643057,0.191128110800045,0.18563287854889,0.198190320756846,0.168437795017033,0.168634829198785,0.523182802830509,NA,0.690467663127652,0.155424848003919,0.180370432606043,0.0398607176799076,0.987760397897513,0.801960353091615,1,0.999945757149148,0.97699162171924,0.891396444127446,0.522315933539409,0.92650017828259,0.923140717084561,0.895338305178533
"Mean daily offset of maxima (100%)",0.978190609201997,0.975150410039901,0.906222247171513,NA,0.192981815426939,0.200944745394169,0.199417983938894,0.194678675895422,0.20715566506583,0.176470038705459,0.177536048032045,0.51889714163007,NA,0.687011473967379,0.163889724397133,0.188801671540609,0.0422632707597086,0.988896598023022,0.806157270506471,0.999945757149148,1,0.977827527112604,0.88715588654304,0.51625300263356,0.923037375743338,0.919594815171775,0.891390802183089
"p95 of daily offset of maxima",0.943540293855227,0.939912782000997,0.874157168780422,NA,0.269408433699707,0.278887704770054,0.248179973734626,0.277527229108472,0.262431153301399,0.214520277367038,0.239377535672861,0.484038444080083,NA,0.648781095972057,0.21380661642036,0.228395951189393,-0.000129946957566781,0.982799267341127,0.850872504498802,0.97699162171924,0.977827527112604,1,0.831574825680329,0.442281708570461,0.879134395458235,0.875163122915771,0.817063029827467
"Offset of minima (2.5%)",0.960237339625542,0.963166048487105,0.88951907371126,NA,-0.250464310479593,-0.2589651795441,-0.236676109449614,-0.273626782750556,-0.250302777049144,-0.199525811900613,-0.219698601851924,0.621133816824576,NA,0.762605113453942,-0.200275643329746,-0.221370962757156,-0.0448530633573993,0.82490716632875,0.530911177574592,0.891396444127446,0.88715588654304,0.831574825680329,1,0.720405733803691,0.989493276263503,0.990142313566788,0.985420148778901
"Offset of minima (0%)",0.613059508759016,0.616460324680621,0.567275690940324,NA,-0.584228153990244,-0.501295973241195,-0.311223225044003,-0.479918038288862,-0.399406864779605,-0.286902274956266,-0.416004522974936,0.521023361313687,NA,0.577002595091917,-0.527996941027557,-0.305785511502448,-0.299979547882516,0.428069610112638,0.0917397714992273,0.522315933539409,0.51625300263356,0.442281708570461,0.720405733803691,1,0.675367569891591,0.678083854107907,0.693438296293959
"Mean daily offset of minima (2.5%)",0.98258304096211,0.984716862377205,0.910258734264807,NA,-0.170606178315359,-0.176114613776906,-0.178687611032916,-0.170786625478062,-0.185140563127181,-0.150628342768935,-0.147785508737194,0.617381080187595,NA,0.764621049198563,-0.139278660805524,-0.167115738643702,-0.0411852842097219,0.874989377245573,0.621505841127288,0.92650017828259,0.923037375743338,0.879134395458235,0.989493276263503,0.675367569891591,1,0.999955915089919,0.985458467604946
"Mean daily offset of minima (0%)",0.980896156677554,0.983134707626487,0.908695017936131,NA,-0.178669353599978,-0.184479493746454,-0.186881865307863,-0.179177212750829,-0.193846766883024,-0.157824106310857,-0.155284261666605,0.618738125370161,NA,0.765031484981392,-0.146180001631878,-0.175088306628347,-0.0430746919080396,0.870698020172635,0.615609290617052,0.923140717084561,0.919594815171775,0.875163122915771,0.990142313566788,0.678083854107907,0.999955915089919,1,0.985922459871507
"p5 of daily offset of minima",0.95972488420052,0.962276774163683,0.889071283005512,NA,-0.225827276460317,-0.235710744898126,-0.217428734465549,-0.233398657373438,-0.229219612643985,-0.18430426520017,-0.196230897468406,0.620129283785174,NA,0.757406876267914,-0.17679424203021,-0.198710224451524,-0.000368828324687666,0.834177515329205,0.55770084507183,0.895338305178533,0.891390802183089,0.817063029827467,0.985420148778901,0.693438296293959,0.985458467604946,0.985922459871507,1
